,Bahis Tipi,Tercih,Olasılıklar
135,Maç Skoru,1 – 1,13
136,Maç Skoru,2 – 2,4
137,Maç Skoru,3 – 3,0
138,Maç Skoru,0 – 1,2
139,Maç Skoru,0 – 2,1
140,Maç Skoru,1 – 2,5
141,Maç Skoru,0 – 3,0
142,Maç Skoru,1 – 3,0
143,Maç Skoru,2 – 3,2
144,Maç Skoru,0 – 4,0
145,Maç Skoru,1 – 4,0
146,Maç Skoru,2 – 4,0
147,Maç Skoru,0 – 5,0
148,Maç Skoru,1 – 5,0
149,Maç Skoru,0 – 6,0
150,Maç Skoru,Diğer,4
151,Maç Sonucu ve Karşılıklı Gol,1 ve Var,38
152,Maç Sonucu ve Karşılıklı Gol,1 ve Yok,32
153,Maç Sonucu ve Karşılıklı Gol,0 ve Var,17
154,Maç Sonucu ve Karşılıklı Gol,0 ve Yok,3
155,Maç Sonucu ve Karşılıklı Gol,2 ve Var,7
156,Maç Sonucu ve Karşılıklı Gol,2 ve Yok,3
157,İlk Yarı Sonucu ve İlk Yarı Karşılıklı Gol,1 ve Var,8
158,İlk Yarı Sonucu ve İlk Yarı Karşılıklı Gol,1 ve Yok,44
159,İlk Yarı Sonucu ve İlk Yarı Karşılıklı Gol,0 ve Var,15
160,İlk Yarı Sonucu ve İlk Yarı Karşılıklı Gol,0 ve Yok,21
161,İlk Yarı Sonucu ve İlk Yarı Karşılıklı Gol,2 ve Var,0
162,İlk Yarı Sonucu ve İlk Yarı Karşılıklı Gol,2 ve Yok,12
163,Altı/Üstü ve Karşılıklı Gol,Alt ve Var 2.5,13
164,Altı/Üstü ve Karşılıklı Gol,Üst ve Var 2.5,49
165,Altı/Üstü ve Karşılıklı Gol,Alt ve Yok 2.5,25
166,Altı/Üstü ve Karşılıklı Gol,Üst ve Yok 2.5,13
167,İlk Yarı Skoru,0 – 0,21
168,İlk Yarı Skoru,1 – 1,15
169,İlk Yarı Skoru,2 – 2,0
170,İlk Yarı Skoru,1 – 0,23
171,İlk Yarı Skoru,2 – 0,17
172,İlk Yarı Skoru,2 – 1,2
173,İlk Yarı Skoru,0 – 1,10
174,İlk Yarı Skoru,0 – 2,2
175,İlk Yarı Skoru,1 – 2,0
176,İlk Yarı Skoru,Diğer,10
177,İY/MS Skorları,0 – 0 / 0 – 0,3
178,İY/MS Skorları,0 – 0 / 0 – 1,1
179,İY/MS Skorları,0 – 0 / 0 – 2,0
180,İY/MS Skorları,0 – 0 / 0 – 3,0
181,İY/MS Skorları,0 – 0 / 1 – 0,5
182,İY/MS Skorları,0 – 0 / 1 – 1,3
183,İY/MS Skorları,0 – 0 / 1 – 2,0
184,İY/MS Skorları,0 – 0 / 2 – 0,5
185,İY/MS Skorları,0 – 0 / 2 – 1,2
186,İY/MS Skorları,0 – 0 / 3 – 0,1
187,İY/MS Skorları,0 – 0 / 4+,1
188,İY/MS Skorları,1 – 0 / 1 – 0,1
189,İY/MS Skorları,1 – 0 / 1 – 1,4
190,İY/MS Skorları,1 – 0 / 1 – 2,2
191,İY/MS Skorları,1 – 0 / 2 – 0,4
192,İY/MS Skorları,1 – 0 / 2 – 1,4
193,İY/MS Skorları,1 – 0 / 3 – 0,1
194,İY/MS Skorları,1 – 0 / 4+,7
195,İY/MS Skorları,0 – 1 / 0 – 1,1
196,İY/MS Skorları,0 – 1 / 0 – 2,0
197,İY/MS Skorları,0 – 1 / 0 – 3,0
198,İY/MS Skorları,0 – 1 / 1 – 1,2
199,İY/MS Skorları,0 – 1 / 1 – 2,2
200,İY/MS Skorları,0 – 1 / 2 – 1,1
201,İY/MS Skorları,0 – 1 / 4+,4
202,İY/MS Skorları,2 – 0 / 2 – 0,4
203,İY/MS Skorları,2 – 0 / 2 – 1,1
204,İY/MS Skorları,2 – 0 / 3 – 0,4
205,İY/MS Skorları,2 – 0 / 4+,8
206,İY/MS Skorları,1 – 1 / 1 – 1,4
207,İY/MS Skorları,1 – 1 / 1 – 2,1
208,İY/MS Skorları,1 – 1 / 2 – 1,1
209,İY/MS Skorları,1 – 1 / 4+,9
210,İY/MS Skorları,0 – 2 / 0 – 2,1
211,İY/MS Skorları,0 – 2 / 0 – 3,0
212,İY/MS Skorları,0 – 2 / 1 – 2,0
213,İY/MS Skorları,0 – 2 / 4+,1
214,İY/MS Skorları,3 – 0 / 3 – 0,0
215,İY/MS Skorları,3 – 0 / 4+,3
216,İY/MS Skorları,2 – 1 / 2 – 1,0
217,İY/MS Skorları,2 – 1 / 4+,2
218,İY/MS Skorları,1 – 2 / 1 – 2,0
219,İY/MS Skorları,1 – 2 / 4+,0
220,İY/MS Skorları,0 – 3 / 0 – 3,0
221,İY/MS Skorları,0 – 3 / 4+,0
222,İY/MS Skorları,4+ / 4+,7
223,İlk Yarı Tek/Çift,Tek,39
224,İlk Yarı Tek/Çift,Çift,61
225,İlk Yarı Karşılıklı Gol Var,Var,23
226,İlk Yarı Karşılıklı Gol Var,Yok,77
227,Ev Sahibi İlk Yarı Altı/Üstü,Alt 0.5,33
228,Ev Sahibi İlk Yarı Altı/Üstü,Üst 0.5,67
229,Deplasman İlk Yarı Altı/Üstü,Alt 0.5,65
230,Deplasman İlk Yarı Altı/Üstü,Üst 0.5,35
231,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,1 ve Alt 1.5,23
232,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,0 ve Alt 1.5,21
233,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,2 ve Alt 1.5,10
234,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,1 ve Üst 1.5,29
235,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,0 ve Üst 1.5,15
236,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,2 ve Üst 1.5,2
237,Ev Sahibi Yarı Kazanır,Evet,82
238,Ev Sahibi Yarı Kazanır,Hayır,18
239,Deplasman Yarı Kazanır,Evet,26
240,Deplasman Yarı Kazanır,Hayır,74
241,İki Yarı da Alt 1.5,Evet,21
242,İki Yarı da Alt 1.5,Hayır,79
243,İki Yarı da Üst 1.5,Evet,26
244,İki Yarı da Üst 1.5,Hayır,74
245,İkinci Yarı Karşılıklı Gol,Evet,31
246,İkinci Yarı Karşılıklı Gol,Hayır,69
