,Bahis Tipi,Tercih,Olasılıklar
195,İY/MS Skorları,0 – 1 / 0 – 1,4
196,İY/MS Skorları,0 – 1 / 0 – 2,1
197,İY/MS Skorları,0 – 1 / 0 – 3,0
198,İY/MS Skorları,0 – 1 / 1 – 1,2
199,İY/MS Skorları,0 – 1 / 1 – 2,1
200,İY/MS Skorları,0 – 1 / 2 – 1,2
201,İY/MS Skorları,0 – 1 / 4+,5
202,İY/MS Skorları,2 – 0 / 2 – 0,0
203,İY/MS Skorları,2 – 0 / 2 – 1,0
204,İY/MS Skorları,2 – 0 / 3 – 0,6
205,İY/MS Skorları,2 – 0 / 4+,3
206,İY/MS Skorları,1 – 1 / 1 – 1,3
207,İY/MS Skorları,1 – 1 / 1 – 2,1
208,İY/MS Skorları,1 – 1 / 2 – 1,2
209,İY/MS Skorları,1 – 1 / 4+,6
210,İY/MS Skorları,0 – 2 / 0 – 2,0
211,İY/MS Skorları,0 – 2 / 0 – 3,0
212,İY/MS Skorları,0 – 2 / 1 – 2,1
213,İY/MS Skorları,0 – 2 / 4+,1
214,İY/MS Skorları,3 – 0 / 3 – 0,1
215,İY/MS Skorları,3 – 0 / 4+,2
216,İY/MS Skorları,2 – 1 / 2 – 1,0
217,İY/MS Skorları,2 – 1 / 4+,5
218,İY/MS Skorları,1 – 2 / 1 – 2,2
219,İY/MS Skorları,1 – 2 / 4+,0
220,İY/MS Skorları,0 – 3 / 0 – 3,0
221,İY/MS Skorları,0 – 3 / 4+,0
222,İY/MS Skorları,4+ / 4+,6
223,İlk Yarı Tek/Çift,Tek,50
224,İlk Yarı Tek/Çift,Çift,50
225,İlk Yarı Karşılıklı Gol Var,Var,24
226,İlk Yarı Karşılıklı Gol Var,Yok,76
227,Ev Sahibi İlk Yarı Altı/Üstü,Alt 0.5,40
228,Ev Sahibi İlk Yarı Altı/Üstü,Üst 0.5,60
229,Deplasman İlk Yarı Altı/Üstü,Alt 0.5,59
230,Deplasman İlk Yarı Altı/Üstü,Üst 0.5,41
231,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,1 ve Alt 1.5,23
232,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,0 ve Alt 1.5,23
233,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,2 ve Alt 1.5,15
234,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,1 ve Üst 1.5,21
235,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,0 ve Üst 1.5,14
236,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,2 ve Üst 1.5,4
237,Ev Sahibi Yarı Kazanır,Evet,70
238,Ev Sahibi Yarı Kazanır,Hayır,30
239,Deplasman Yarı Kazanır,Evet,33
240,Deplasman Yarı Kazanır,Hayır,67
241,İki Yarı da Alt 1.5,Evet,32
242,İki Yarı da Alt 1.5,Hayır,68
243,İki Yarı da Üst 1.5,Evet,21
244,İki Yarı da Üst 1.5,Hayır,79
245,İkinci Yarı Karşılıklı Gol,Evet,26
246,İkinci Yarı Karşılıklı Gol,Hayır,74
